PhonemeID,IPA,Type,Vowel_Height,Vowel_Backness,Vowel_Roundness,Consonant_Voicing,Consonant_ArticulationManner,Consonant_ArticulationPlace,Modifiers,Feature
1,p,Consonant,,,,0,plosive,bilabial,,Plosive
2,b,Consonant,,,,1,plosive,bilabial,,Plosive
3,"p̪",Consonant,,,,0,plosive,labio-dental,,Plosive
4,"b̪",Consonant,,,,1,plosive,labio-dental,,Plosive
5,"t̼",Consonant,,,,0,plosive,linguolabial,,Plosive
6,"d̼",Consonant,,,,1,plosive,linguolabial,,Plosive
7,"t̪",Consonant,,,,0,plosive,dental,,Plosive
8,"d̪",Consonant,,,,1,plosive,dental,,Plosive
9,t,Consonant,,,,0,plosive,alveolar,,Plosive
10,d,Consonant,,,,1,plosive,alveolar,,Plosive
11,"ʈ",Consonant,,,,0,plosive,retroflex,,Plosive
12,"ɖ",Consonant,,,,1,plosive,retroflex,,Plosive
13,c,Consonant,,,,0,plosive,palatal,,Plosive
14,"ɟ",Consonant,,,,1,plosive,palatal,,Plosive
15,k,Consonant,,,,0,plosive,velar,,Plosive
16,"ɡ",Consonant,,,,1,plosive,velar,,Plosive
17,q,Consonant,,,,0,plosive,uvular,,Plosive
18,"ɢ",Consonant,,,,1,plosive,uvular,,Plosive
19,"ʡ",Consonant,,,,0,plosive,pharyngeal,,Plosive
20,"ʔ",Consonant,,,,0,plosive,glottal,,Plosive
21,"m̥",Consonant,,,,0,nasal,bilabial,,Nasal
22,m,Consonant,,,,1,nasal,bilabial,,Nasal
23,"ɱ̊",Consonant,,,,0,nasal,labio-dental,,Nasal
24,"ɱ",Consonant,,,,1,nasal,labio-dental,,Nasal
25,"n̼̊",Consonant,,,,0,nasal,linguolabial,,Nasal
26,"n̼",Consonant,,,,1,nasal,linguolabial,,Nasal
27,"n̪̊",Consonant,,,,0,nasal,dental,,Nasal
28,"n̪",Consonant,,,,1,nasal,dental,,Nasal
29,"n̥",Consonant,,,,0,nasal,alveolar,,Nasal
30,n,Consonant,,,,1,nasal,alveolar,,Nasal
31,"ɳ̊",Consonant,,,,0,nasal,retroflex,,Nasal
32,"ɳ",Consonant,,,,1,nasal,retroflex,,Nasal
33,"ɲ̊",Consonant,,,,0,nasal,palatal,,Nasal
34,"ɲ",Consonant,,,,1,nasal,palatal,,Nasal
35,"ŋ̊",Consonant,,,,0,nasal,velar,,Nasal
36,"ŋ",Consonant,,,,1,nasal,velar,,Nasal
37,"ɴ̊",Consonant,,,,0,nasal,uvular,,Nasal
38,"ɴ",Consonant,,,,1,nasal,uvular,,Nasal
39,"t͡s",Consonant,,,,0,sibilant-affricate,alveolar,,Affricate
40,"d͡z",Consonant,,,,1,sibilant-affricate,alveolar,,Affricate
41,"t͡ʃ",Consonant,,,,0,sibilant-affricate,palato-alveolar,,Affricate
42,"d͡ʒ",Consonant,,,,1,sibilant-affricate,palato-alveolar,,Affricate
43,"ʈ͡ʂ",Consonant,,,,0,sibilant-affricate,retroflex,,Affricate
44,"ɖ͡ʐ",Consonant,,,,1,sibilant-affricate,retroflex,,Affricate
45,"t͡ɕ",Consonant,,,,0,sibilant-affricate,alveolo-palatal,,Affricate
