PhonemeID,IPA,Type,Vowel_Height,Vowel_Backness,Vowel_Roundness,Consonant_Voicing,Consonant_ArticulationManner,Consonant_ArticulationPlace,Modifiers,Feature
1,p,Consonant,,,,0,plosive,bilabial,,
2,b,Consonant,,,,1,plosive,bilabial,,
3,"p̪",Consonant,,,,0,plosive,labio-dental,,
4,"b̪",Consonant,,,,1,plosive,labio-dental,,
5,"t̼",Consonant,,,,0,plosive,linguolabial,,
6,"d̼",Consonant,,,,1,plosive,linguolabial,,
7,"t̪",Consonant,,,,0,plosive,dental,,
8,"d̪",Consonant,,,,1,plosive,dental,,
9,t,Consonant,,,,0,plosive,alveolar,,
10,d,Consonant,,,,1,plosive,alveolar,,
11,"ʈ",Consonant,,,,0,plosive,retroflex,,
12,"ɖ",Consonant,,,,1,plosive,retroflex,,
13,c,Consonant,,,,0,plosive,palatal,,
14,"ɟ",Consonant,,,,1,plosive,palatal,,
15,k,Consonant,,,,0,plosive,velar,,
16,"ɡ",Consonant,,,,1,plosive,velar,,
17,q,Consonant,,,,0,plosive,uvular,,
18,"ɢ",Consonant,,,,1,plosive,uvular,,
19,"ʡ",Consonant,,,,0,plosive,pharyngeal,,
20,"ʔ",Consonant,,,,0,plosive,glottal,,
21,"m̥",Consonant,,,,0,nasal,bilabial,,
22,m,Consonant,,,,1,nasal,bilabial,,
23,"ɱ̊",Consonant,,,,0,nasal,labio-dental,,
24,"ɱ",Consonant,,,,1,nasal,labio-dental,,
25,"n̼̊",Consonant,,,,0,nasal,linguolabial,,
26,"n̼",Consonant,,,,1,nasal,linguolabial,,
27,"n̪̊",Consonant,,,,0,nasal,dental,,
28,"n̪",Consonant,,,,1,nasal,dental,,
29,"n̥",Consonant,,,,0,nasal,alveolar,,
30,n,Consonant,,,,1,nasal,alveolar,,
31,"ɳ̊",Consonant,,,,0,nasal,retroflex,,
32,"ɳ",Consonant,,,,1,nasal,retroflex,,
33,"ɲ̊",Consonant,,,,0,nasal,palatal,,
34,"ɲ",Consonant,,,,1,nasal,palatal,,
35,"ŋ̊",Consonant,,,,0,nasal,velar,,
36,"ŋ",Consonant,,,,1,nasal,velar,,
37,"ɴ̊",Consonant,,,,0,nasal,uvular,,
38,"ɴ",Consonant,,,,1,nasal,uvular,,
39,"t͡s",Consonant,,,,0,sibilant-affricate,alveolar,,
40,"d͡z",Consonant,,,,1,sibilant-affricate,alveolar,,
